creator_address,seconds_to_dump_mean,seconds_to_dump_median,sol_pnl_mean,sol_pnl_median,usd_pnl_mean,usd_pnl_median,total_sol_volume_mean,total_sol_volume_median,total_usd_volume_mean,total_usd_volume_median,num_swappers_mean,num_swappers_median,creator_from_sol_swaps_mean,creator_from_sol_swaps_median,creator_to_sol_swaps_mean,creator_to_sol_swaps_median,mean_time_delta
21qj6yRo17y96vFrYEo5dKtgR6HjqW4Adim2XYDMv2CN,46.822987364206114,14.999999105930328,0.5645673545163962,0.001909833,119.04865187148063,0.3899999999999863,122.36540685110401,9.686094415,25163.68310036436,2093.0,38.79761510433919,5.0,1.0520039748261014,1.0,0.9880755216959258,1.0,984.2738492328219
24J2G1aRSRLGrDcGcTq7b5wNxVpkKaJ9AjGnX6yjdTCY,450.8769777922018,22.999995946884155,0.34434491663076083,0.0001180170000001,72.64812926097628,0.0399999999999636,123.88828365528035,7.762196475,26839.373599672756,1662.9,28.539132806108537,4.0,1.0095445868557404,1.0,1.0166348513771475,1.0,2813.6091107474085
2ShHCRYe4stqdLQ4dax8ERX9RhoeDPT6NCcXjzufeUuX,144974.833329767,614.50000628829,0.07618594851714702,0.0,16.467147026632617,0.0,88.57217429200419,44.600886366500006,17517.537283838017,7008.275,50.0601970083911,43.0,0.0,0.0,0.001459321415541773,0.0,2402.497172048896
2dmMZkhARNy8C5KcTAS9iVAmjQQLUzsb2z2arrT4oT3d,,,0.0,0.0,0.0,0.0,43.1638965647855,36.052592436,6604.476933389191,5410.23,42.632174277335565,42.0,0.0,0.0,0.0,0.0,2707.778290025147
2iUsVToNZ5wxJ93epq4trrSaRFQviTNd9z6d5qNoipzp,1040.8139575705973,47.00002670288086,0.007274338708812261,-1e-05,1.6792560664112393,0.0,6.197558845517241,0.740010001,1367.9479310344827,166.45999999999998,3.8212005108556832,2.0,1.0,1.0,0.013729246487867178,0.0,3091.2098371127436
2zv1i23uwUBv4Zu9A8ZA8PJfLojz5523uekJkRtwTJgM,282.8881473428755,29.999998211860657,0.0031546009977840767,2.8999999956980105e-08,0.5198195631528965,0.0,14.615859480323836,1.284083425,3119.4876859765754,266.58,5.748338081671415,3.0,1.0003165558721114,1.0,0.9962013295346629,1.0,7422.059662775616
35WDroEZ7Kqwvxsy4XV2hmHBg25dyBUFWTXV8wn6Mm7U,,,0.0,0.0,0.0,0.0,1.6262258836223351,0.158405881,374.5214585448392,37.5,2.3062605752961085,1.0,0.0,0.0,0.0,0.0,895.6408898305085
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE,27.965798504096792,14.999999105930328,0.3934803560475724,0.005619008,73.41851682705378,1.0699999999999932,87.581099027262,8.590335,16886.405368890337,1567.7800000000002,35.13836785733703,6.0,1.0001087370195183,1.0,1.0332735279725982,1.0,650.1853427122526
3eosqvAzuAX5PDMDcLbgoaJdw45Gr3niL1GZsjE66sJY,31.35470543692376,14.999999105930328,1.4760633918473685,0.0053033399999997,368.2099377990431,1.3400000000001455,227.77348207577322,13.076510664,55204.287971291866,3305.925,55.28708133971292,6.0,1.0066985645933015,1.0,0.9401913875598086,1.0,794.1161742613921
3mL9kH1KqbpFcY9Ry5u9xfZuTSiA2BDTUC6CX9GTLs2w,23.171788784465726,15.999993681907654,0.22953207071267837,0.0486366174999999,36.638987376509334,7.480000000000018,41.80279802059303,7.292062941999999,7034.207848518112,1152.115,16.195938529088913,4.0,1.0019209659714599,1.0,1.0019209659714599,1.0,1901.5278616524843
3mqbxgQ8UEwNixoGJhuyB5KDwkgN2K5jTbSpccR7bxAp,456.5712134069577,23.99999052286148,0.30122023401581915,0.0029378470000001,59.29555555555556,0.660000000000025,97.28440252693447,7.880949544,18419.19654990584,1583.71,45.97551789077213,7.0,1.0052730696798493,1.0,1.1389830508474577,1.0,4939.9996232102485
3rYj2dThkPHXxX8UNyT6361dqpeQaAU2g3mpZrEwRbnM,218.76594457351328,59.00000184774399,0.2067367412413793,0.0,31.890154612959005,0.0,110.95023135928533,9.682581356,15852.158261621402,1348.16,25.322652832875598,4.0,1.0,1.0,1.0051876716509003,1.0,528.044167263061
3xSVDcoGo4Nd5omE4q7nGHsPRfXwRE1ZmxJSkacSPrxR,,,0.0,0.0,0.0,0.0,1.7649788225687022,0.050000047,353.4056743002544,10.18,2.4440203562340965,1.0,0.0,0.0,0.0,0.0,419.66478076379065
4Kr8wN4b5VV3p9B9oxdE737oqm2d5pPm7JtLsDpdNKNz,294.0918777455463,10.0000262260437,0.2422136323493258,5.905899999980591e-05,39.44546879899655,0.01,33.8874929153603,9.344662711000002,5679.0861774851055,1602.24,23.13860144245845,7.0,1.0012543116964565,1.0,0.9793038570084666,1.0,1527.2173358827279
4RePs4EchMosyRENfkUFwZcjgMsdTt9SzYMZomtvRQEi,61.231529889063324,59.00000184774399,0.22721850929692117,2.2083000000172603e-05,36.41386008274676,0.0099999999999909,81.66080409565649,9.591805304,12763.30255923916,1597.55,33.216538606200636,6.0,1.0,1.0,1.0014507549298801,1.0,266.970359915314
58uQcUznpk8DsJBMwWkFZPwhcR91nJw1ihyDiThEoLnF,108.25463455259191,62.99998015165329,0.0670550143255208,0.00505492199999995,13.920963541666667,1.049999999999983,67.86248268691853,6.273263879,13322.11941592262,1276.6950000000002,37.934151785714285,7.0,1.0,1.0,0.984375,1.0,4776.772608857462
